feature_id,Adipocyte,Cardiomyocyte,Cycling cells,Endothelial,Fibroblast,Lymphoid,Mast,Myeloid,Neuronal,Pericyte,vSMCs
ENSG00000080561,0.000531815,0.01954182,0.000525291,0.055950686,0.06711736,0.02492138,0.0005246189,0.0039224816,0.083715245,0.02095292,0.04712843
ENSG00000101844,0.00053281145,0.10501252,0.037626322,0.044807684,0.016167242,0.0682414,0.09111404,0.02376657,0.011308657,0.015661549,0.037660528
ENSG00000197565,0.00052184705,0.61469513,0.03706822,0.011735811,0.020514779,0.023349194,0.05457081,0.020792322,0.038868986,0.01349529,0.034973953
ENSG00000188153,0.31265482,1.7875991,0.09825007,0.091021866,0.30571234,0.13933736,0.21179701,0.08792705,0.11158966,0.13939486,0.36748996
ENSG00000101888,0.0005401773,0.001317064,0.0005363012,0.0011825279,0.0017345326,0.014008457,0.0005252814,0.0023913344,0.000522516,0.0023587148,0.0005303302
ENSG00000068366,6.6806293,0.55277807,0.41209254,0.19727087,0.40125492,0.18558694,0.9994178,0.3584246,0.1714088,0.18470094,0.18736465
ENSG00000157600,0.5063145,2.8669527,0.38255483,0.18805684,0.21779853,0.2722929,0.5901542,0.3309886,0.15396272,0.15119904,0.35909078
ENSG00000101935,0.32494718,0.9388018,0.08050176,0.08885096,0.12630108,0.09930716,0.2074597,0.06921324,0.087949045,0.04793867,0.14638625
ENSG00000243978,0.00053021125,0.14645357,0.00053141505,0.0043283994,0.0047417716,0.011570133,0.0005393876,0.0039358092,0.0005257247,0.00050069613,0.01764073
ENSG00000077264,0.0005360611,0.0024469837,0.0005393998,0.031363346,0.08790847,0.012292738,0.0005439272,0.0033245296,0.01305114,0.0027270992,0.06341268
ENSG00000101901,1.1612917,0.3934063,0.39152157,0.33208427,0.40755704,0.3068888,0.30501923,0.3308958,0.22623953,0.25507587,0.3309278
ENSG00000229487,0.00053146406,0.08025375,0.09701536,0.052338846,0.111214645,0.00052782206,0.055342674,0.047322877,0.03427464,0.06617592,0.07045518
ENSG00000286072,0.0005432252,0.0025562816,0.00052250887,0.0027210284,0.22855052,0.0130358245,0.09300695,0.0034965402,0.025681598,0.0022529627,0.05032461
